Anomaly Status Matrix:
Node/Year 1975 1976 1977 
6365 (1976) Normal Anomalous Anomalous 
6455 (1976) Normal Anomalous Anomalous 
6665 (1976) Normal Anomalous Anomalous 
8458 (1976) Normal Anomalous Anomalous 
13081 (1976) Normal Anomalous Anomalous 
13938 (1976) Normal Anomalous Anomalous 
13188 (1977) Normal Anomalous Anomalous 
13203 (1976) Normal Anomalous Anomalous 
13332 (1976) Normal Anomalous Anomalous 
13426 (1976) Normal Anomalous Anomalous 
14026 (1977) Normal Anomalous Anomalous 
14237 (1977) Normal Normal Anomalous 
18731 (1977) Normal Normal Anomalous 
14467 (1977) Normal Normal Anomalous 
14541 (1976) Normal Anomalous Anomalous 
14610 (1976) Normal Anomalous Anomalous 
14721 (1976) Normal Anomalous Anomalous 
16085 (1977) Normal Normal Anomalous 
14746 (1977) Normal Anomalous Anomalous 
14855 (1976) Normal Anomalous Anomalous 
15231 (1977) Normal Normal Anomalous 
15252 (1977) Normal Normal Anomalous 
16656 (1977) Normal Normal Anomalous 
15349 (1976) Normal Anomalous Anomalous 
15416 (1976) Normal Anomalous Anomalous 
15425 (1976) Normal Anomalous Anomalous 
15506 (1977) Normal Normal Anomalous 
15652 (1977) Normal Normal Anomalous 
16495 (1977) Normal Normal Anomalous 
15729 (1977) Normal Normal Anomalous 
15764 (1977) Normal Normal Anomalous 
15849 (1977) Normal Normal Anomalous 
15853 (1977) Normal Normal Anomalous 
19010 (1977) Normal Normal Anomalous 
15891 (1976) Normal Anomalous Anomalous 
16080 (1977) Normal Normal Anomalous 
16317 (1977) Normal Normal Anomalous 
16413 (1977) Normal Normal Anomalous 
17710 (1977) Normal Normal Anomalous 
17246 (1976) Normal Anomalous Anomalous 
17295 (1977) Normal Normal Anomalous 
17310 (1977) Normal Normal Anomalous 
17496 (1977) Normal Normal Anomalous 
18018 (1977) Normal Normal Anomalous 
18079 (1976) Normal Anomalous Anomalous 
3424 (1976) Normal Anomalous Anomalous 
18720 (1976) Normal Anomalous Anomalous 
4920 (1976) Normal Anomalous Anomalous 
6977 (1976) Normal Anomalous Anomalous 
7023 (1975) Anomalous Anomalous Anomalous 
7282 (1976) Normal Anomalous Anomalous 
8830 (1976) Normal Anomalous Anomalous 
13388 (1976) Normal Anomalous Anomalous 
14636 (1977) Normal Anomalous Anomalous 
16684 (1977) Normal Anomalous Anomalous 
18204 (1977) Normal Anomalous Anomalous 
